,subject,parameter,value,IDs
56663,24,$\theta$,-0.21890618,29
56664,25,$\theta$,-0.58492917,45
56665,26,$\theta$,0.56306994,28
56666,27,$\theta$,-0.4574545,39
56667,28,$\theta$,0.11707798,44
56668,29,$\theta$,-0.6675726,57
56669,30,$\theta$,0.18314995,35
56670,31,$\theta$,-0.42389727,30
56671,32,$\theta$,0.5125174,31
56672,33,$\theta$,0.3699605,61
56673,34,$\theta$,0.48334503,47
56674,35,$\theta$,-0.3684805,65
56675,36,$\theta$,0.45208085,52
56676,37,$\theta$,-0.0068954807,62
56677,38,$\theta$,-0.22035953,34
56678,39,$\theta$,0.6376324,60
56679,40,$\theta$,0.013274759,38
56680,1,$\theta$,-0.30630517,25
56681,2,$\theta$,-0.1483423,32
56682,3,$\theta$,0.40111414,33
56683,4,$\theta$,0.15731218,27
56684,5,$\theta$,0.26053447,51
56685,6,$\theta$,0.402015,55
56686,7,$\theta$,-0.4979116,63
56687,8,$\theta$,0.14155518,37
56688,9,$\theta$,0.21461241,50
56689,10,$\theta$,0.0016417466,42
56690,11,$\theta$,-0.072410084,56
56691,12,$\theta$,-0.5360381,49
56692,13,$\theta$,-0.36882186,40
56693,14,$\theta$,-0.23420621,54
56694,15,$\theta$,0.63434756,66
56695,16,$\theta$,-0.22725137,67
56696,17,$\theta$,-0.79741675,46
56697,18,$\theta$,-0.36012742,24
56698,19,$\theta$,0.12116596,23
56699,20,$\theta$,0.34634712,43
56700,21,$\theta$,-0.30768228,64
56701,22,$\theta$,0.09742598,58
56702,23,$\theta$,0.4259463,48
56703,24,$\theta$,-0.10616195,29
56704,25,$\theta$,0.11972165,45
56705,26,$\theta$,0.28067166,28
56706,27,$\theta$,-0.3260673,39
56707,28,$\theta$,0.4755824,44
56708,29,$\theta$,-0.35623422,57
56709,30,$\theta$,0.040690277,35
56710,31,$\theta$,-0.27894667,30
56711,32,$\theta$,0.17254634,31
56712,33,$\theta$,0.5150322,61
56713,34,$\theta$,0.121853635,47
56714,35,$\theta$,-0.028363768,65
56715,36,$\theta$,0.10486686,52
56716,37,$\theta$,-0.26269424,62
56717,38,$\theta$,0.11927986,34
56718,39,$\theta$,0.71892536,60
56719,40,$\theta$,0.06487711,38
56720,1,$\theta$,-0.5211454,25
56721,2,$\theta$,-0.21300535,32
56722,3,$\theta$,0.3115514,33
56723,4,$\theta$,0.1631006,27
56724,5,$\theta$,-0.12630661,51
56725,6,$\theta$,0.22819719,55
56726,7,$\theta$,-0.9140854,63
56727,8,$\theta$,0.26986304,37
56728,9,$\theta$,-0.17474991,50
56729,10,$\theta$,-0.11612386,42
56730,11,$\theta$,-0.500157,56
56731,12,$\theta$,-0.32997167,49
56732,13,$\theta$,-0.5932107,40
56733,14,$\theta$,-0.12268895,54
56734,15,$\theta$,0.26194468,66
56735,16,$\theta$,-0.41588664,67
56736,17,$\theta$,-0.6942246,46
56737,18,$\theta$,-0.47567552,24
56738,19,$\theta$,-0.27043644,23
56739,20,$\theta$,0.019386716,43
56740,21,$\theta$,-0.29949176,64
56741,22,$\theta$,0.065401554,58
56742,23,$\theta$,0.16620964,48
56743,24,$\theta$,-0.045286037,29
56744,25,$\theta$,-0.3407778,45
56745,26,$\theta$,0.10704383,28
56746,27,$\theta$,-0.6827339,39
56747,28,$\theta$,0.0075880736,44
56748,29,$\theta$,-0.9724921,57
56749,30,$\theta$,-0.17247728,35
56750,31,$\theta$,-0.24503946,30
56751,32,$\theta$,-0.15029499,31
56752,33,$\theta$,0.72989666,61
56753,34,$\theta$,0.39011285,47
56754,35,$\theta$,-0.057125255,65
56755,36,$\theta$,0.35333595,52
56756,37,$\theta$,0.042890474,62
56757,38,$\theta$,-0.074900776,34
56758,39,$\theta$,0.40478966,60
56759,40,$\theta$,-0.085842244,38
56760,1,$\theta$,-0.8444269,25
56761,2,$\theta$,0.1690047,32
56762,3,$\theta$,0.38212836,33
56763,4,$\theta$,0.5111359,27
56764,5,$\theta$,0.39289328,51
56765,6,$\theta$,0.96984726,55
56766,7,$\theta$,-0.399544,63
56767,8,$\theta$,0.2727294,37
56768,9,$\theta$,0.46795362,50
56769,10,$\theta$,-0.12586027,42
56770,11,$\theta$,-0.36306733,56
56771,12,$\theta$,-0.27119654,49
56772,13,$\theta$,-0.36546075,40
56773,14,$\theta$,-0.42263222,54
56774,15,$\theta$,0.41036114,66
56775,16,$\theta$,0.035084236,67
56776,17,$\theta$,-0.52899885,46
56777,18,$\theta$,-0.009552617,24
56778,19,$\theta$,-0.14402312,23
56779,20,$\theta$,0.7368616,43
56780,21,$\theta$,-0.31614524,64
56781,22,$\theta$,0.13062419,58
56782,23,$\theta$,0.79409796,48
56783,24,$\theta$,0.087618396,29
56784,25,$\theta$,-0.80096775,45
56785,26,$\theta$,0.37244892,28
56786,27,$\theta$,-0.521285,39
56787,28,$\theta$,0.62173074,44
56788,29,$\theta$,-0.39561313,57
56789,30,$\theta$,0.010907054,35
56790,31,$\theta$,0.021942448,30
56791,32,$\theta$,-0.29943582,31
56792,33,$\theta$,0.7347037,61
56793,34,$\theta$,0.5180159,47
56794,35,$\theta$,0.11745845,65
56795,36,$\theta$,-0.083415955,52
56796,37,$\theta$,0.012473222,62
56797,38,$\theta$,-0.058387935,34
56798,39,$\theta$,0.33279136,60
56799,40,$\theta$,0.017627139,38
56800,1,$\theta$,-0.70419884,25
56801,2,$\theta$,-0.12293053,32
56802,3,$\theta$,0.5120133,33
56803,4,$\theta$,0.09379549,27
56804,5,$\theta$,-0.034763515,51
56805,6,$\theta$,-0.03814452,55
56806,7,$\theta$,-0.89913154,63
56807,8,$\theta$,0.48488614,37
56808,9,$\theta$,-0.3360634,50
56809,10,$\theta$,-0.1470035,42
56810,11,$\theta$,-0.42275155,56
56811,12,$\theta$,-0.1257159,49
56812,13,$\theta$,-0.88476264,40
56813,14,$\theta$,-0.24389593,54
56814,15,$\theta$,0.14936268,66
56815,16,$\theta$,0.13134785,67
56816,17,$\theta$,-0.535705,46
56817,18,$\theta$,-0.07219524,24
56818,19,$\theta$,-0.088507,23
56819,20,$\theta$,0.4871736,43
56820,21,$\theta$,-0.4401856,64
56821,22,$\theta$,0.19529435,58
56822,23,$\theta$,0.049833953,48
56823,24,$\theta$,0.27671185,29
56824,25,$\theta$,-0.26339114,45
56825,26,$\theta$,0.25032845,28
56826,27,$\theta$,-0.5763571,39
56827,28,$\theta$,0.30614164,44
56828,29,$\theta$,-0.8266889,57
56829,30,$\theta$,-0.19033957,35
56830,31,$\theta$,-0.42048725,30
56831,32,$\theta$,-0.11214949,31
56832,33,$\theta$,0.834865,61
56833,34,$\theta$,0.036478393,47
56834,35,$\theta$,-0.4553411,65
56835,36,$\theta$,0.061062813,52
56836,37,$\theta$,0.013997942,62
56837,38,$\theta$,-0.30760992,34
56838,39,$\theta$,0.11159201,60
56839,40,$\theta$,-0.19517592,38
56840,1,$\theta$,-0.65844053,25
56841,2,$\theta$,-0.37449065,32
56842,3,$\theta$,0.49889973,33
56843,4,$\theta$,0.17779705,27
56844,5,$\theta$,0.27088645,51
56845,6,$\theta$,0.06019767,55
56846,7,$\theta$,-0.68105185,63
56847,8,$\theta$,0.64023155,37
56848,9,$\theta$,-0.018152682,50
56849,10,$\theta$,-0.04846578,42
56850,11,$\theta$,-0.17205164,56
56851,12,$\theta$,-0.28742057,49
56852,13,$\theta$,-0.7151203,40
56853,14,$\theta$,-0.36715192,54
56854,15,$\theta$,-0.14794616,66
56855,16,$\theta$,-0.13152328,67
56856,17,$\theta$,-0.42059705,46
56857,18,$\theta$,-0.10457121,24
56858,19,$\theta$,-0.10237784,23
56859,20,$\theta$,0.122662306,43
56860,21,$\theta$,-0.18979374,64
56861,22,$\theta$,0.090212554,58
56862,23,$\theta$,0.56203675,48
56863,24,$\theta$,-0.09160708,29
56864,25,$\theta$,-0.12888937,45
56865,26,$\theta$,0.15464458,28
56866,27,$\theta$,-0.4555122,39
56867,28,$\theta$,0.19691461,44
56868,29,$\theta$,-0.8432334,57
56869,30,$\theta$,-0.39390025,35
56870,31,$\theta$,-0.45937335,30
56871,32,$\theta$,0.3886127,31
56872,33,$\theta$,0.2643579,61
56873,34,$\theta$,0.024823222,47
56874,35,$\theta$,0.1327204,65
56875,36,$\theta$,0.005023308,52
56876,37,$\theta$,0.45672718,62
56877,38,$\theta$,0.06924604,34
56878,39,$\theta$,0.553074,60
56879,40,$\theta$,0.21865347,38
56880,1,$\theta$,-0.5542118,25
56881,2,$\theta$,0.32897446,32
56882,3,$\theta$,0.50286806,33
56883,4,$\theta$,0.25517285,27
56884,5,$\theta$,0.55855376,51
56885,6,$\theta$,0.21989678,55
56886,7,$\theta$,-0.9931913,63
56887,8,$\theta$,0.5357587,37
56888,9,$\theta$,0.2537152,50
56889,10,$\theta$,-0.031900983,42
56890,11,$\theta$,-0.14040843,56
56891,12,$\theta$,-0.68930423,49
56892,13,$\theta$,-0.62001175,40
56893,14,$\theta$,-0.23042423,54
56894,15,$\theta$,0.42197365,66
56895,16,$\theta$,-0.20043893,67
56896,17,$\theta$,-0.7367233,46
56897,18,$\theta$,-0.40176377,24
56898,19,$\theta$,-0.4501362,23
56899,20,$\theta$,0.09036578,43
56900,21,$\theta$,0.023021799,64
56901,22,$\theta$,-0.115833715,58
56902,23,$\theta$,0.27650562,48
56903,24,$\theta$,-0.24980435,29
56904,25,$\theta$,0.032871004,45
56905,26,$\theta$,0.07967436,28
56906,27,$\theta$,-0.42144036,39
56907,28,$\theta$,0.47872338,44
56908,29,$\theta$,-0.47379866,57
56909,30,$\theta$,-0.37719193,35
56910,31,$\theta$,-0.06571319,30
56911,32,$\theta$,-0.16315997,31
56912,33,$\theta$,0.5265109,61
56913,34,$\theta$,0.5667643,47
56914,35,$\theta$,-0.40474537,65
56915,36,$\theta$,0.05440298,52
56916,37,$\theta$,0.014468137,62
56917,38,$\theta$,0.018861212,34
56918,39,$\theta$,0.6083512,60
56919,40,$\theta$,-0.19814993,38
56920,1,$\theta$,-0.6473594,25
56921,2,$\theta$,-0.30468014,32
56922,3,$\theta$,0.17527528,33
56923,4,$\theta$,-0.07427308,27
56924,5,$\theta$,0.06189452,51
56925,6,$\theta$,0.5286811,55
56926,7,$\theta$,-1.0668736,63
56927,8,$\theta$,0.42657298,37
56928,9,$\theta$,0.015144065,50
56929,10,$\theta$,-0.5872768,42
56930,11,$\theta$,-0.03762822,56
56931,12,$\theta$,-0.09359112,49
56932,13,$\theta$,-0.6330191,40
56933,14,$\theta$,-0.4435898,54
56934,15,$\theta$,0.17396174,66
56935,16,$\theta$,-0.41900444,67
56936,17,$\theta$,-1.1892924,46
56937,18,$\theta$,-0.4165439,24
56938,19,$\theta$,-0.4390152,23
56939,20,$\theta$,0.24913715,43
56940,21,$\theta$,-0.40729284,64
56941,22,$\theta$,0.20000859,58
56942,23,$\theta$,0.51243585,48
56943,24,$\theta$,-0.32573417,29
56944,25,$\theta$,-0.08121232,45
56945,26,$\theta$,0.509703,28
56946,27,$\theta$,-0.5124537,39
56947,28,$\theta$,0.33384734,44
56948,29,$\theta$,-0.8702626,57
56949,30,$\theta$,-0.0937715,35
56950,31,$\theta$,0.24473967,30
56951,32,$\theta$,-0.13246888,31
56952,33,$\theta$,0.4078294,61
56953,34,$\theta$,0.34455675,47
56954,35,$\theta$,-0.09858014,65
56955,36,$\theta$,0.29297602,52
56956,37,$\theta$,-0.12787388,62
56957,38,$\theta$,-0.016134955,34
56958,39,$\theta$,0.6424321,60
56959,40,$\theta$,0.0012082532,38
56960,1,$\theta$,-0.5237381,25
56961,2,$\theta$,-0.07709262,32
56962,3,$\theta$,0.44674453,33
56963,4,$\theta$,0.07831088,27
56964,5,$\theta$,-0.054670878,51
56965,6,$\theta$,0.3655665,55
56966,7,$\theta$,-0.56734675,63
56967,8,$\theta$,0.16717264,37
56968,9,$\theta$,0.1715391,50
56969,10,$\theta$,-0.06385425,42
56970,11,$\theta$,-0.35186845,56
56971,12,$\theta$,0.35308957,49
56972,13,$\theta$,-0.84241277,40
56973,14,$\theta$,-0.4118492,54
56974,15,$\theta$,0.22238117,66
56975,16,$\theta$,-0.319839,67
56976,17,$\theta$,-0.47945988,46
56977,18,$\theta$,-0.5323747,24
56978,19,$\theta$,-0.11022258,23
56979,20,$\theta$,0.46863326,43
56980,21,$\theta$,-0.066410474,64
56981,22,$\theta$,-0.13816698,58
56982,23,$\theta$,0.037232388,48
56983,24,$\theta$,-0.1337339,29
56984,25,$\theta$,-0.4498471,45
56985,26,$\theta$,0.07404885,28
56986,27,$\theta$,-0.37196794,39
56987,28,$\theta$,0.024763301,44
56988,29,$\theta$,-0.3124922,57
56989,30,$\theta$,0.14978778,35
56990,31,$\theta$,-0.35926932,30
56991,32,$\theta$,0.05038469,31
56992,33,$\theta$,0.47693384,61
56993,34,$\theta$,0.33616439,47
56994,35,$\theta$,-0.23939319,65
56995,36,$\theta$,0.15213582,52
56996,37,$\theta$,0.044160213,62
56997,38,$\theta$,0.21464358,34
56998,39,$\theta$,0.5889751,60
56999,40,$\theta$,0.0192715,38
57000,1,$\theta$,-0.8132825,25
57001,2,$\theta$,0.017622981,32
57002,3,$\theta$,0.41292194,33
57003,4,$\theta$,0.06722088,27
57004,5,$\theta$,0.17313401,51
57005,6,$\theta$,0.020593021,55
57006,7,$\theta$,-0.66117543,63
57007,8,$\theta$,0.2960735,37
57008,9,$\theta$,0.09153928,50
57009,10,$\theta$,-0.12962577,42
57010,11,$\theta$,-0.12616408,56
57011,12,$\theta$,0.03943054,49
57012,13,$\theta$,-0.6614417,40
57013,14,$\theta$,-0.44977605,54
57014,15,$\theta$,0.46218252,66
57015,16,$\theta$,-0.23667072,67
57016,17,$\theta$,-0.27185485,46
57017,18,$\theta$,-0.3478552,24
57018,19,$\theta$,-0.20541126,23
57019,20,$\theta$,0.60536,43
57020,21,$\theta$,-0.30176187,64
57021,22,$\theta$,-0.3207063,58
57022,23,$\theta$,0.26914546,48
57023,24,$\theta$,-0.0587539,29
57024,25,$\theta$,-0.16729715,45
57025,26,$\theta$,0.35933223,28
57026,27,$\theta$,-0.34668598,39
57027,28,$\theta$,0.3951749,44
57028,29,$\theta$,-0.8595962,57
57029,30,$\theta$,-0.17197846,35
57030,31,$\theta$,-0.030114785,30
57031,32,$\theta$,0.232388,31
57032,33,$\theta$,0.5881865,61
57033,34,$\theta$,0.100270286,47
57034,35,$\theta$,0.25276768,65
57035,36,$\theta$,0.042384442,52
57036,37,$\theta$,0.1545984,62
57037,38,$\theta$,0.41417012,34
57038,39,$\theta$,0.57331413,60
57039,40,$\theta$,0.28751865,38
57040,1,$\theta$,-0.86415726,25
57041,2,$\theta$,-0.028599875,32
57042,3,$\theta$,0.3723099,33
57043,4,$\theta$,-0.077112526,27
57044,5,$\theta$,-0.032041058,51
57045,6,$\theta$,0.110365026,55
57046,7,$\theta$,-0.7892799,63
57047,8,$\theta$,0.4572871,37
57048,9,$\theta$,0.023476705,50
57049,10,$\theta$,-0.36759794,42
57050,11,$\theta$,-0.2661559,56
57051,12,$\theta$,-0.077549644,49
57052,13,$\theta$,-0.8474948,40
57053,14,$\theta$,-0.25011882,54
57054,15,$\theta$,-0.054300968,66
57055,16,$\theta$,-0.27264938,67
57056,17,$\theta$,-0.50726175,46
57057,18,$\theta$,-0.37539306,24
57058,19,$\theta$,-0.5425414,23
57059,20,$\theta$,-0.04513581,43
57060,21,$\theta$,-0.02730335,64
57061,22,$\theta$,0.102782585,58
57062,23,$\theta$,0.6795382,48
57063,24,$\theta$,-0.3327962,29
57064,25,$\theta$,-0.17379647,45
57065,26,$\theta$,0.46328452,28
57066,27,$\theta$,-0.08871178,39
57067,28,$\theta$,0.041770875,44
57068,29,$\theta$,-0.44445398,57
57069,30,$\theta$,0.05410871,35
57070,31,$\theta$,-0.22474039,30
57071,32,$\theta$,0.1503649,31
57072,33,$\theta$,0.51622707,61
57073,34,$\theta$,0.091286786,47
57074,35,$\theta$,-0.31134325,65
57075,36,$\theta$,0.06370812,52
57076,37,$\theta$,0.07341012,62
57077,38,$\theta$,0.05905798,34
57078,39,$\theta$,0.68272126,60
57079,40,$\theta$,-0.054415047,38
57080,1,$\theta$,-0.5521738,25
57081,2,$\theta$,-0.00200928,32
57082,3,$\theta$,0.27693415,33
57083,4,$\theta$,0.27179998,27
57084,5,$\theta$,0.45751417,51
57085,6,$\theta$,0.3358334,55
57086,7,$\theta$,-0.37523082,63
57087,8,$\theta$,0.213153,37
57088,9,$\theta$,0.05146998,50
57089,10,$\theta$,0.044717595,42
57090,11,$\theta$,-0.44107205,56
57091,12,$\theta$,-0.51416755,49
57092,13,$\theta$,-0.8245585,40
57093,14,$\theta$,-0.48831865,54
57094,15,$\theta$,0.08313391,66
57095,16,$\theta$,-0.30335996,67
57096,17,$\theta$,-0.8176499,46
57097,18,$\theta$,-0.071077675,24
57098,19,$\theta$,-0.13318278,23
57099,20,$\theta$,0.13097307,43
57100,21,$\theta$,-0.18501979,64
57101,22,$\theta$,0.14349094,58
57102,23,$\theta$,0.18201062,48
57103,24,$\theta$,-0.0049469136,29
57104,25,$\theta$,-0.3341568,45
57105,26,$\theta$,0.3853755,28
57106,27,$\theta$,-0.11912154,39
57107,28,$\theta$,0.36311576,44
57108,29,$\theta$,-0.44653648,57
57109,30,$\theta$,-0.10975968,35
57110,31,$\theta$,0.15041876,30
57111,32,$\theta$,0.077979945,31
57112,33,$\theta$,0.7440179,61
57113,34,$\theta$,-0.014305582,47
57114,35,$\theta$,-0.14623533,65
57115,36,$\theta$,0.014258735,52
57116,37,$\theta$,0.118467666,62
57117,38,$\theta$,0.16672307,34
57118,39,$\theta$,0.5464575,60
57119,40,$\theta$,0.14134541,38
57120,1,$\theta$,-0.41824624,25
57121,2,$\theta$,-0.13986272,32
57122,3,$\theta$,0.5935925,33
57123,4,$\theta$,-0.0011083707,27
57124,5,$\theta$,0.2537531,51
57125,6,$\theta$,0.0041481853,55
57126,7,$\theta$,-0.7820078,63
57127,8,$\theta$,0.1090866,37
57128,9,$\theta$,0.18184423,50
57129,10,$\theta$,-0.06353354,42
57130,11,$\theta$,-0.52524734,56
57131,12,$\theta$,-0.43983394,49
57132,13,$\theta$,-0.92670846,40
57133,14,$\theta$,-0.35135677,54
57134,15,$\theta$,-0.056698397,66
57135,16,$\theta$,-0.24012792,67
57136,17,$\theta$,-0.22901677,46
57137,18,$\theta$,-0.25231707,24
57138,19,$\theta$,-0.3968336,23
57139,20,$\theta$,0.4469612,43
57140,21,$\theta$,-0.042375743,64
57141,22,$\theta$,-0.26899764,58
57142,23,$\theta$,0.12402463,48
57143,24,$\theta$,-0.10815312,29
57144,25,$\theta$,-0.02611874,45
57145,26,$\theta$,0.68485796,28
57146,27,$\theta$,-0.14435071,39
57147,28,$\theta$,0.27243903,44
57148,29,$\theta$,-0.65757394,57
57149,30,$\theta$,0.08787441,35
57150,31,$\theta$,-0.62093246,30
57151,32,$\theta$,0.020852767,31
57152,33,$\theta$,0.4939091,61
57153,34,$\theta$,0.21330148,47
57154,35,$\theta$,-0.039505035,65
57155,36,$\theta$,0.14749126,52
57156,37,$\theta$,0.30077314,62
57157,38,$\theta$,0.21268967,34
57158,39,$\theta$,0.43745747,60
57159,40,$\theta$,-0.12919492,38
57160,1,$\theta$,-0.6425133,25
57161,2,$\theta$,0.033689767,32
57162,3,$\theta$,0.06133032,33
57163,4,$\theta$,0.05274625,27
57164,5,$\theta$,0.07685287,51
57165,6,$\theta$,0.18122776,55
57166,7,$\theta$,-0.7911062,63
57167,8,$\theta$,0.26932138,37
57168,9,$\theta$,0.2048469,50
57169,10,$\theta$,-0.11921565,42
57170,11,$\theta$,-0.8377494,56
57171,12,$\theta$,-0.32301962,49
57172,13,$\theta$,-0.9421829,40
57173,14,$\theta$,-0.5544633,54
57174,15,$\theta$,0.033851206,66
57175,16,$\theta$,-0.18710707,67
57176,17,$\theta$,-0.5178278,46
57177,18,$\theta$,-0.5115838,24
57178,19,$\theta$,-0.46660888,23
57179,20,$\theta$,0.18967976,43
57180,21,$\theta$,-0.4682063,64
57181,22,$\theta$,0.25178373,58
57182,23,$\theta$,0.30737317,48
57183,24,$\theta$,-0.19808239,29
57184,25,$\theta$,0.15107408,45
57185,26,$\theta$,0.20578341,28
57186,27,$\theta$,-0.37402713,39
57187,28,$\theta$,0.30725157,44
57188,29,$\theta$,-0.8675353,57
57189,30,$\theta$,-0.073906325,35
57190,31,$\theta$,-0.09797817,30
57191,32,$\theta$,-0.019420348,31
57192,33,$\theta$,0.70094967,61
57193,34,$\theta$,0.47503293,47
57194,35,$\theta$,-0.40577316,65
57195,36,$\theta$,0.17897646,52
57196,37,$\theta$,-0.15259339,62
57197,38,$\theta$,0.056974873,34
57198,39,$\theta$,0.72338957,60
57199,40,$\theta$,-0.15686557,38
57200,1,$\theta$,-0.6482714,25
57201,2,$\theta$,0.01807478,32
57202,3,$\theta$,0.11441799,33
57203,4,$\theta$,0.2896498,27
57204,5,$\theta$,0.21273792,51
57205,6,$\theta$,0.3795244,55
57206,7,$\theta$,-0.61773205,63
57207,8,$\theta$,0.3642967,37
57208,9,$\theta$,0.12997523,50
57209,10,$\theta$,-0.30893856,42
57210,11,$\theta$,-0.13132171,56
57211,12,$\theta$,-0.17135364,49
57212,13,$\theta$,-0.7406863,40
57213,14,$\theta$,-0.3315373,54
57214,15,$\theta$,0.32331982,66
57215,16,$\theta$,-0.56822544,67
57216,17,$\theta$,-0.52432156,46
57217,18,$\theta$,-0.32789716,24
57218,19,$\theta$,-0.46097302,23
57219,20,$\theta$,0.44809312,43
57220,21,$\theta$,-0.11732329,64
57221,22,$\theta$,0.1533303,58
57222,23,$\theta$,0.22470436,48
57223,24,$\theta$,-0.050990596,29
57224,25,$\theta$,-0.36071128,45
57225,26,$\theta$,0.5919516,28
57226,27,$\theta$,-0.3108957,39
57227,28,$\theta$,0.24919799,44
57228,29,$\theta$,-0.3981282,57
57229,30,$\theta$,-0.100853145,35
57230,31,$\theta$,0.13046375,30
57231,32,$\theta$,-0.026021145,31
57232,33,$\theta$,0.64652073,61
57233,34,$\theta$,0.23419493,47
57234,35,$\theta$,-0.40077874,65
57235,36,$\theta$,0.08482122,52
57236,37,$\theta$,-0.07423754,62
57237,38,$\theta$,0.6085792,34
57238,39,$\theta$,0.33489275,60
57239,40,$\theta$,-0.15898594,38
57240,1,$\theta$,-0.47379395,25
57241,2,$\theta$,0.0003475994,32
57242,3,$\theta$,0.55483055,33
57243,4,$\theta$,-0.013901532,27
57244,5,$\theta$,0.4252843,51
57245,6,$\theta$,0.38083476,55
57246,7,$\theta$,-0.68012565,63
57247,8,$\theta$,0.61045563,37
57248,9,$\theta$,0.14401858,50
57249,10,$\theta$,0.11151481,42
57250,11,$\theta$,-0.14009915,56
57251,12,$\theta$,0.030873295,49
57252,13,$\theta$,-0.60543174,40
57253,14,$\theta$,-0.44001228,54
57254,15,$\theta$,0.065766886,66
57255,16,$\theta$,-0.27956095,67
57256,17,$\theta$,-0.6686603,46
57257,18,$\theta$,-0.53022337,24
57258,19,$\theta$,-0.4732662,23
57259,20,$\theta$,0.24698497,43
57260,21,$\theta$,-0.49875125,64
57261,22,$\theta$,0.06810312,58
57262,23,$\theta$,0.42816147,48
57263,24,$\theta$,-0.30583638,29
57264,25,$\theta$,0.044905674,45
57265,26,$\theta$,0.45895627,28
57266,27,$\theta$,-0.40993297,39
57267,28,$\theta$,0.54687625,44
57268,29,$\theta$,-0.41072583,57
57269,30,$\theta$,0.018199619,35
57270,31,$\theta$,0.070898205,30
57271,32,$\theta$,0.08873418,31
57272,33,$\theta$,0.77345484,61
57273,34,$\theta$,0.27560163,47
57274,35,$\theta$,-0.5137084,65
57275,36,$\theta$,0.15858062,52
57276,37,$\theta$,0.22319701,62
57277,38,$\theta$,-0.101061255,34
57278,39,$\theta$,0.7142373,60
57279,40,$\theta$,-0.13127421,38
57280,1,$\theta$,-0.44258142,25
57281,2,$\theta$,-0.23359793,32
57282,3,$\theta$,0.6929108,33
57283,4,$\theta$,0.115719944,27
57284,5,$\theta$,-0.076706365,51
57285,6,$\theta$,0.39915767,55
57286,7,$\theta$,-0.33616826,63
57287,8,$\theta$,0.32538208,37
57288,9,$\theta$,0.22914916,50
57289,10,$\theta$,-0.17056595,42
57290,11,$\theta$,-0.16500781,56
57291,12,$\theta$,-0.4812201,49
57292,13,$\theta$,-0.5263238,40
57293,14,$\theta$,-0.20262511,54
57294,15,$\theta$,-0.062252685,66
57295,16,$\theta$,-0.30603838,67
57296,17,$\theta$,-0.5195664,46
57297,18,$\theta$,-0.6038867,24
57298,19,$\theta$,-0.23261784,23
57299,20,$\theta$,0.7410511,43
57300,21,$\theta$,-0.1589583,64
57301,22,$\theta$,-0.23785356,58
57302,23,$\theta$,0.52938026,48
57303,24,$\theta$,0.0035369564,29
57304,25,$\theta$,-0.23976256,45
57305,26,$\theta$,0.33766773,28
57306,27,$\theta$,-0.24563746,39
57307,28,$\theta$,0.49423063,44
57308,29,$\theta$,-0.3998288,57
57309,30,$\theta$,-0.019873403,35
57310,31,$\theta$,-0.07611194,30
57311,32,$\theta$,0.009208994,31
57312,33,$\theta$,0.3895295,61
57313,34,$\theta$,0.58330053,47
57314,35,$\theta$,-0.32029212,65
57315,36,$\theta$,0.2360327,52
57316,37,$\theta$,-0.13390228,62
57317,38,$\theta$,-0.30012247,34
57318,39,$\theta$,0.5769478,60
57319,40,$\theta$,0.2302739,38
57320,1,$\theta$,-0.71529835,25
57321,2,$\theta$,0.08515017,32
57322,3,$\theta$,0.81668234,33
57323,4,$\theta$,0.4410688,27
57324,5,$\theta$,0.29211664,51
57325,6,$\theta$,0.13613114,55
57326,7,$\theta$,-1.0374161,63
57327,8,$\theta$,0.41248304,37
57328,9,$\theta$,-0.030245796,50
57329,10,$\theta$,0.32840097,42
57330,11,$\theta$,-0.13478404,56
57331,12,$\theta$,0.23952349,49
57332,13,$\theta$,-0.28528666,40
57333,14,$\theta$,-0.30324215,54
57334,15,$\theta$,0.5875808,66
57335,16,$\theta$,-0.54381764,67
57336,17,$\theta$,-0.43792188,46
57337,18,$\theta$,-0.19385877,24
57338,19,$\theta$,-0.114292175,23
57339,20,$\theta$,0.8420543,43
57340,21,$\theta$,0.25931966,64
57341,22,$\theta$,-0.0327525,58
57342,23,$\theta$,0.56645286,48
57343,24,$\theta$,-0.04134792,29
57344,25,$\theta$,-0.37366194,45
57345,26,$\theta$,0.39228,28
57346,27,$\theta$,-0.5211741,39
57347,28,$\theta$,0.35264364,44
57348,29,$\theta$,-0.7159488,57
57349,30,$\theta$,-0.11228584,35
57350,31,$\theta$,-0.1889765,30
57351,32,$\theta$,0.2417745,31
57352,33,$\theta$,0.6064104,61
57353,34,$\theta$,0.60796463,47
57354,35,$\theta$,0.099787265,65
57355,36,$\theta$,-0.0010946151,52
57356,37,$\theta$,0.47557878,62
57357,38,$\theta$,0.049135976,34
57358,39,$\theta$,1.0313545,60
57359,40,$\theta$,0.24850681,38
57360,1,$\theta$,-0.51198125,25
57361,2,$\theta$,0.03465661,32
57362,3,$\theta$,0.25648138,33
57363,4,$\theta$,-0.045128345,27
57364,5,$\theta$,0.10663135,51
57365,6,$\theta$,0.3678034,55
57366,7,$\theta$,-0.5869404,63
57367,8,$\theta$,0.2917082,37
57368,9,$\theta$,-0.092587516,50
57369,10,$\theta$,0.19908991,42
57370,11,$\theta$,-0.13904317,56
57371,12,$\theta$,-0.10686731,49
57372,13,$\theta$,-0.8325666,40
57373,14,$\theta$,-0.6190547,54
57374,15,$\theta$,0.27200532,66
57375,16,$\theta$,-0.6293556,67
57376,17,$\theta$,-0.7004934,46
57377,18,$\theta$,-0.2580217,24
57378,19,$\theta$,-0.13289373,23
